target,x,y,d1,d2
erobern,Die Italiener erobern Tripolis,Die Italiener eroberten Tripolis,Die Italiener werden Tripolis eroberten,Die Italiener würden Tripolis erobern
riechen,Es riecht nach feuchter Erde,Es roch nach feuchter Erde,Es wird nach feuchter Erde riechen,Es würde nach feuchter Erde riechen
vollziehen,Der Wandel vollzieht sich stetig,Der Wandel vollzog sich stetig,Der Wandel wird sich stetig vollziehen,Der Wandel würde sich stetig vollziehen
verlängern,Das verlängert die Akku-Laufzeit,Das verlängerte die Akku-Laufzeit,Das wird die Akku-Laufzeit verlängern,Das würde die Akku-Laufzeit verlängern
werfen,Der Trainer wirft kurze Bälle hinters Netz,Der Trainer warf kurze Bälle hinters Netz,Der Trainer wird kurze Bälle hinters Netz werfen,Der Trainer würde kurze Bälle hinters Netz werfen
finanzieren,Sie finanzieren die organisierte Kriminalität,Sie finanzierten die organisierte Kriminalität,Sie werden die organisierte Kriminalität finanzieren,Sie würden die organisierte Kriminalität finanzieren
gestatten,Das gestattet ihnen einen luxuriösen Lebensstil,Das gestattete ihnen einen luxuriösen Lebensstil,Das wird ihnen einen luxuriösen Lebensstil gestatten,Das würde ihnen einen luxuriösen Lebensstil gestatten
konzentrieren,Die LOGPR-Spezialisten konzentrieren sich auf die Logistik-Branche,Die LOGPR-Spezialisten konzentrierten sich auf die Logistik-Branche,Die LOGPR-Spezialisten werden sich auf die Logistik-Branche konzentrieren,Die LOGPR-Spezialisten würden sich auf die Logistik-Branche konzentrieren
rutschen,Ich rutsche mit dem Untergrund zurück,Ich rutschte mit dem Untergrund zurück,Ich werde mit dem Untergrund zurückrutschen,Ich würde mit dem Untergrund zurückrutschen
schaffen,Wir schaffen Freiraum,Wir schufen Freiraum,Wir werden Freiraum schaffen,Wir würden Freiraum schaffen
erscheinen,Es erscheinen nun Rechts kleine Icons,Es erschienen nun Rechts kleine Icons,Es werden nun Rechts kleine Icons erscheinen,Es würden nun Rechts kleine Icons erscheinen
rühren,Nichts rührt sich ohne dich,Nichts rührte sich ohne dich,Nichts wird sich ohne dich rühren,Nichts würde sich ohne dich rühren
zeigen,Wir zeigen mehr,Wir zeigten mehr,Wir werden mehr zeigen,Wir würden mehr zeigen
drängen,Die Shannon Star drängt sich auf,Die Shannon Star drängte sich auf,Die Shannon Star wird sich aufdrängen,Die Shannon Star würde sich aufdrängen
kündigen,Ein wunderschöner kalter Wintertag kündigt sich an,Ein wunderschöner kalter Wintertag kündigte sich an,Ein wunderschöner kalter Wintertag wird sich ankündigen,Ein wunderschöner kalter Wintertag würde sich ankündigen
berufen,Der Veranstalter des Vienna City Marathon beruft sich auf seine Teilnahmebedingungen,Der Veranstalter des Vienna City Marathon berief sich auf seine Teilnahmebedingungen,Der Veranstalter des Vienna City Marathon wird sich auf seine Teilnahmebedingungen berufen,Der Veranstalter des Vienna City Marathon würde sich auf seine Teilnahmebedingungen berufen
tagen,Alle diese Gremien tagen öffentlich,Alle diese Gremien tagten öffentlich,Alle diese Gremien werden öffentlich tagen,Alle diese Gremien würden öffentlich tagen
bestreiten,Die beiden Animationsmannschaften U13 bestreiten Mehrfrontenturniere,Die beiden Animationsmannschaften U13 bestritten Mehrfrontenturniere,Die beiden Animationsmannschaften U13 werden Mehrfrontenturniere bestreiten,Die beiden Animationsmannschaften U13 würden Mehrfrontenturniere bestreiten
hassen,Wir hassen die Scheisskoyoten,Wir hassten die Scheisskoyoten,Wir werden die Scheisskoyoten hassen,Wir würden die Scheisskoyoten hassen
reparieren,Das Auto-Vorbeck-Serviceteam repariert alle Fahrzeuge,Das Auto-Vorbeck-Serviceteam reparierte alle Fahrzeuge,Das Auto-Vorbeck-Serviceteam wird alle Fahrzeuge reparieren,Das Auto-Vorbeck-Serviceteam würde alle Fahrzeuge reparieren
variieren,Die Länge der Nadeln variiert je nach Einsatzbereich,Die Länge der Nadeln variierte je nach Einsatzbereich,Die Länge der Nadeln wird je nach Einsatzbereich variieren,Die Länge der Nadeln würde je nach Einsatzbereich variieren
umgeben,Die Marke umgibt eine besondere Aura,Die Marke umgab eine besondere Aura,Die Marke wird eine besondere Aura umgeben,Die Marke würde eine besondere Aura umgeben
behaupten,Die deutschen Milchproduzenten behaupten das Mittelfeld,Die deutschen Milchproduzenten behaupteten das Mittelfeld,Die deutschen Milchproduzenten werden das Mittelfeld behaupten,Die deutschen Milchproduzenten würden das Mittelfeld behaupten
vermissen,Ich vermisse das ganz schön,Ich vermisste das ganz schön,Ich werde das ganz schön vermissen,Ich würde das ganz schön vermissen
heiraten,Sie heiratet,Sie heiratete,Sie wird heiraten,Sie würde heiraten
absolvieren,Ich absolviere dich,Ich absolvierte dich,Ich werde dich absolvieren,Ich würde dich absolvieren
vereinbaren,Das vereinbart beide Vorteile,Das vereinbarte beide Vorteile,Das wird beide Vorteile vereinbaren,Das würde beide Vorteile vereinbaren
entspannen,Der Duft entspannt sofort,Der Duft entspannte sofort,Der Duft wird sofort entspannen,Der Duft würde sofort entspannen
spezialisieren,Die meisten Verkäufer Kairos spezialisieren sich auf bestimmte Verkaufsartikel,Die meisten Verkäufer Kairos spezialisierten sich auf bestimmte Verkaufsartikel,Die meisten Verkäufer Kairos werden sich auf bestimmte Verkaufsartikel spezialisieren,Die meisten Verkäufer Kairos würden sich auf bestimmte Verkaufsartikel spezialisieren
raten,Der Bundesrat und das Parlament raten zur Ablehnung der Mindestlohn-Initiative,Der Bundesrat und das Parlament rieten zur Ablehnung der Mindestlohn-Initiative,Der Bundesrat und das Parlament werden zur Ablehnung der Mindestlohn-Initiative raten,Der Bundesrat und das Parlament würden zur Ablehnung der Mindestlohn-Initiative raten
steuern,der Planende steuert maßgeblich den Planungsprozess,der Planende steuerte maßgeblich den Planungsprozess,der Planende wird maßgeblich den Planungsprozess steuern,der Planende würde maßgeblich den Planungsprozess steuern
bewirken,Sie bewirken die Leistungen ihrer Teams,Sie bewirkten die Leistungen ihrer Teams,Sie werden die Leistungen ihrer Teams bewirken,Sie würden die Leistungen ihrer Teams bewirken
nähern,Die lange angekündigte Corona-Warn-App nähert sich offenbar der Fertigstellung,Die lange angekündigte Corona-Warn-App näherte sich offenbar der Fertigstellung,Die lange angekündigte Corona-Warn-App wird sich offenbar der Fertigstellung nähern,Die lange angekündigte Corona-Warn-App würde sich offenbar der Fertigstellung nähern
