target,x,y,d1,d2
spend,He spent 22 years in prison,They spent 22 years in prison,You spent 22 years in prison,I spent 22 years in prison
buy,I buy mine from Galls,We buy ours from Galls,You buy yours from Galls,They buy theirs from Galls
feel,I could feel it too,We could feel it too,You could feel it too,They could feel it too
stand,You alone stand above ambition and partisanship,You alone stand above ambition and partisanship,They alone stand above ambition and partisanship,She alone stands above ambition and partisanship
place,It should place its confidence in God,They should place their confidence in God,You should place your confidence in God,We should place our confidence in God
involve,It will involve co-investment,They will involve co-investment,You will involve co-investment,We will involve co-investment
go,It goes in judders,They go in judders,You go in judders,We go in judders
feel,I Feel Safer Already,We Feel Safer Already,You Feel Safer Already,They Feel Safer Already
start,You can now start your Xserver like normal,You can now start your Xserver like normal,He can now start his Xserver like normal,I can now start my Xserver like normal
check,I checked the article out,We checked the article out,You checked the article out,They checked the article out
learn,I learn something definitely,We learn something definitely,You learn something definitely,They learn something definitely
move,He moved his lodgings to Dublin,They moved their lodgings to Dublin,You moved your lodgings to Dublin,We moved our lodgings to Dublin
mean,It means an exciting street life,They mean an exciting street life,You mean an exciting street life,We mean an exciting street life
focus,I focus on AIDS,We focus on AIDS,You focus on AIDS,They focus on AIDS
prepare,It prepared me in every way possible,They prepared me in every way possible,You prepared me in every way possible,We prepared ourselves in every way possible
drive,She drives me over here,They drive me over here,You drive me over here,I drive myself over here
need,I need a nap,We need a nap,You need a nap,They need a nap
buy,I bought it,We bought it,You bought it,They bought it
remain,He remains devoted and passionate,They remain devoted and passionate,I remain devoted and passionate,You remain devoted and passionate
sit,It kind of sits back there,They kind of sit back there,I kind of sit back there,You kind of sit back there
send,I sent Howard a copy,We sent Howard a copy,You sent Howard a copy,They sent Howard a copy
want,I want them all,We want them all,You want them all,They want them all
fall,It fell even further by 1995,They fell even further by 1995,I fell even further by 1995,You fell even further by 1995
maintain,I maintain my statement,We maintain our statement,You maintain your statement,They maintain their statement
publish,It first published in April 1994,They first published in April 1994,I first published in April 1994,You first published in April 1994
cut,It cuts pipe very easily,They cut pipe very easily,I cut pipe very easily,You cut pipe very easily
cause,It can also cause practical problems,They can also cause practical problems,You can also cause practical problems,We can also cause practical problems
install,It ought not install itself,They ought not install themselves,You ought not install yourself,I ought not install myself
meet,I once met her here in Jerusalem,We once met her here in Jerusalem,You once met her here in Jerusalem,They once met her here in Jerusalem
know,you know,we know,I know,She knows
receive,I never received a reply,We never received a reply,You never received a reply,They never received a reply
put,I could not put the book down,We could not put the book down,You could not put the book down,They could not put the book down
need,I Need More Space,We Need More Space,You Need More Space,They Need More Space
finish,I will finish the transmissions soon,We will finish the transmissions soon,You will finish the transmissions soon,They will finish the transmissions soon
continue,She continues,They continue,You continue,I continue
select,It also selects various scholarship recipients,They also select various scholarship recipients,You also select various scholarship recipients,I also select various scholarship recipients
like,I liked this family very much,We liked this family very much,You liked this family very much,They liked this family very much
represent,He successfully represented,They successfully represented,You successfully represented,We successfully represented
end,I'll just end with a summary,We'll just end with a summary,You'll just end with a summary,They'll just end with a summary
tell,I told her about Accidental Presidents,We told her about Accidental Presidents,You told her about Accidental Presidents,They told her about Accidental Presidents
recommend,I highly recommend this software,We highly recommend this software,You highly recommend this software,They highly recommend this software
manage,He also manages the Seminary's Work-Support Program,They also manage the Seminary's Work-Support Program,You also manage the Seminary's Work-Support Program,We also manage the Seminary's Work-Support Program
represent,It also represents engineering at its best,They also represent engineering at its best,You also represent engineering at its best,We also represent engineering at its best
happen,It certainly happened for Jeremiah,They certainly happened for Jeremiah,You certainly happened for Jeremiah,We certainly happened for Jeremiah
describe,He described a cottage,They described a cottage,You described a cottage,We described a cottage
develop,She developed a mitochondrial DNA test,They developed a mitochondrial DNA test,You developed a mitochondrial DNA test,We developed a mitochondrial DNA test
provide,It provided access to knowledge,They provided access to knowledge,You provided access to knowledge,We provided access to knowledge
seek,He sought clarification on that issue,They sought clarification on that issue,You sought clarification on that issue,We sought clarification on that issue
use,I used a paper clip,We used a paper clip,You used a paper clip,They used a paper clip
be,I'm a compulsive re-reader,We're compulsive re-readers,You're a compulsive re-reader,They're compulsive re-readers
enjoy,I enjoyed the course,We enjoyed the course,You enjoyed the course,They enjoyed the course
accept,I accept the functional cookies below,We accept the functional cookies below,You accept the functional cookies below,They accept the functional cookies below
refer,It also referred to article 36,They also referred to article 36,You also referred to article 36,We also referred to article 36
reach,You can reach the team at EMAIL,You can reach the team at EMAIL,We can reach the team at EMAIL,They can reach the team at EMAIL
visit,You should visit the New Press website,You should visit the New Press website,We should visit the New Press website,They should visit the New Press website
reduce,It will also reduce your risk of injury,They will also reduce your risk of injury,You will also reduce your risk of injury,We will also reduce your risk of injury
bear,I couldn't bear to part with them,We couldn't bear to part with them,You couldn't bear to part with them,They couldn't bear to part with them
continue,He continued,They continued,You continued,I continued
share,He also shared his vision on prevention,They also shared their vision on prevention,You also shared your vision on prevention,I also shared her vision on prevention
occur,It occurred two minutes after take-off,They occurred two minutes after take-off,You occurred two minutes after take-off,We occurred two minutes after take-off
stand,I stand by that,We stand by that,You stand by that,They stand by that
