target,x,y,d1,d2
restare,Io restai di sasso,Noi restammo di sasso,Egli restò di sasso,Loro restarono di sasso
produrre,Io in un anno produco mediamente 6800kwh,Noi in un anno produciamo mediamente 6800kwh,Egli in un anno produce mediamente 6800kwh,Loro in un anno producono mediamente 6800kwh
incontrare,Tu ne incontri?,Voi ne incontrate?,Egli ne incontra?,Essi ne incontrano?
creare,Esso crea sindacati tradeunionisti,Essi creano sindacati tradeunionisti,Lei crea sindacati tradeunionisti,Noi creiamo sindacati tradeunionisti
limitare,Io mi limito a una breve considerazione,Noi ci limitiamo a una breve considerazione,Tu ti limiti a una breve considerazione,Esso si limita a una breve considerazione
stabilire,Essa stabiliva,Esse stabilivano,Egli stabiliva,Noi stabilivamo
inserire,Io inserisco una foto,Noi inseriamo una foto,Tu inserisci una foto,Esse inseriscono una foto
giocare,Io una volta giocavo a baseball,Noi una volta giocavamo a baseball,Tu una volta giocavi a baseball,Loro una volta giocavano a baseball
aiutare,Io aiuto solo nella Missione Terra,Noi aiutiamo solo nella Missione Terra,Tu aiuti solo nella Missione Terra,Esso aiuta solo nella Missione Terra
ricevere,Tu ricevi la risposta via email,Voi ricevete la risposta via email,Egli riceve la risposta via email,Esse ricevono la risposta via email
notare,Io noto un leggero miglioramento,Noi notiamo un leggero miglioramento,Tu noti un leggero miglioramento,Egli nota un leggero miglioramento
iniziare,Essa si inizia con,Esse si iniziano con,Egli si inizia con,Noi si inizia con
accettare,Egli non accetta la sua solitudine divina,Essi non accettano la loro solitudine divina,Io non accetto la mia solitudine divina,Noi non accettiamo la nostra solitudine divina
partecipare,Io partecipai alla crociera del 1949,Noi partecipammo alla crociera del 1949,Voi partecipaste alla crociera del 1949,Loro parteciparono alla crociera del 1949
sostenere,Io non sosterrei quel governo,Noi non sosterremmo quel governo,Tu non sosterresti quel governo,Essa non sosterrebbe quel governo
cominciare,Io comincio con le location,Noi cominciamo con le location,Voi cominciate con le location,Esse cominciano con le location
avere,Essa ha carattere d'impresa,Esse hanno carattere d'impresa,Lui ha carattere d'impresa,Noi abbiamo carattere d'impresa
considerare,Io lo considero un complimento,Noi lo consideriamo un complimento,Tu lo consideri un complimento,Lui lo considera un complimento
essere,Tu sei libero di,Voi siete liberi di,Lei è libera di,Noi siamo liberi di
chiudere,Io chiudo qua,Noi chiudiamo qua,Voi chiudete qua,Essi chiudono qua
risultare,Esso risulta equivalente allo schema EET,Essi risultano equivalenti allo schema EET,Io risulto equivalente allo schema EET,Noi risultiamo equivalenti allo schema EET
scegliere,Tu scegli,Voi scegliete,Egli sceglie,Noi scegliamo
ridurre,Egli li riduce a niente,Loro li riducono a niente,Tu li riduci a niente,Noi li riduciamo a niente
cominciare,Egli cominciò una grande marcia,Essi cominciarono una grande marcia,Io cominciai una grande marcia,Voi cominciaste una grande marcia
giocare,Io giocherò i numeri,Noi giocheremo i numeri,Tu giocherai i numeri,Essi giocheranno i numeri
vivere,Esso vive nella paura,Essi vivono nella paura,Lei vive nella paura,Io vivo nella paura
mancare,Io non mancherò,Noi non mancheremo,Tu non mancherai,Essi non mancheranno
lasciare,Egli mi lascia da valoroso,Essi mi lasciano da valorosi,Tu mi lasci da valoroso,Noi ti lasciamo da valorosi
realizzare,Io realizzai il primo gol,Noi realizzammo il primo gol,Tu realizzasti il primo gol,Voi realizzaste il primo gol
preferire,Io lo preferisco al successivo Draconian Times,Noi li preferiamo al successivo Draconian Times,Tu lo preferisci al successivo Draconian Times,Essi lo preferiscono al successivo Draconian Times
valutare,Tu che alternative valuteresti?,Loro che alternative valuterebbero?,Lei che alternative valuterebbe?,Io che alternative valuterei?
porre,Io porrei due questioni,Noi porremmo due questioni,Tu porresti due questioni,Essi porrebbero due questioni
sostenere,Egli sosteneva che,Essi sostenevano che,Lei sosteneva che,Tu sostenevi che
risolvere,Io risolvo i problemi,Noi risolviamo i problemi,Egli risolve i problemi,Esse risolvono i problemi
mangiare,Io me lo mangerei a 4 palmenti,Noi ce lo mangeremmo a 4 palmenti,Tu te lo mangeresti a 4 palmenti,Essi se lo mangerebbero a 4 palmenti
caratterizzare,Essa si caratterizza secondo alcuni filoni specifici,Esse si caratterizzano secondo alcuni filoni specifici,Io mi caratterizzo secondo alcuni filoni specifici,Tu ti caratterizzi secondo alcuni filoni specifici
porre,Io me la pongo,Noi ce la poniamo,Tu te la poni,Essi se la pongono
offrire,Io volentieri offrirò il mio pane,Noi volentieri offriremo il nostro pane,Tu volentieri offrirai il tuo pane,Loro volentieri offriranno il loro pane
parlare,Io non parlo di futuro,Noi non parliamo di futuro,Tu non parli di futuro,Egli non parla di futuro
garantire,Io con il mio le garantisco una presenza più costante,Noi con il nostro le garantiamo una presenza più costante,Voi con il vostro le garantite una presenza più costante,Essi con il loro le garantiscono una presenza più costante
vedere,Io ne vedo due macroscopiche,Noi ne vediamo due macroscopiche,Tu ne vedi due macroscopiche,Essi ne vedono due macroscopiche
risultare,Essa risulta efficace e risolutiva,Esse risultano efficaci e risolutive,Io risulto efficace e risolutivo,Tu risulti efficace e risolutivo
unire,io non mi unisco proprio,noi non ci uniamo proprio,tu non ti unisci proprio,loro non si uniscono proprio
ritenere,Io ritengo tutto ciò particolarmente positivo,Noi riteniamo tutto ciò particolarmente positivo,Tu ritieni tutto ciò particolarmente positivo,Egli ritiene tutto ciò particolarmente positivo
osservare,Io osservo,Noi osserviamo,Tu osservi,Essi osservano
aprire,Egli aprirà la Porta,Essi apriranno la Porta,Tu aprirai la Porta,Io aprirò la Porta
ottenere,Io li otterrò per te,Noi li otterremo per te,Tu li otterrai per te,Egli li otterrà per te
garantire,Esso infatti garantisce diversi benefici,Essi infatti garantiscono diversi benefici,Io infatti garantisco diversi benefici,Noi infatti garantiamo diversi benefici
offrire,Io mi offro,Noi ci offriamo,Tu ti offri,Essi si offrono
promuovere,Io addirittura la promuoverei su Rai2,Noi addirittura la promuoveremmo su Rai2,Tu addirittura la promuoveresti su Rai2,Essi addirittura la promuoverebbero su Rai2
avere,Egli non aveva che otto anni,Essi non avevano che otto anni,Io non avevo che otto anni,Noi non avevamo che otto anni
sapere,Io lo so,Noi lo sappiamo,Tu lo sai,Loro lo sanno
decidere,Io li decido la mattina,Noi li decidiamo la mattina,Tu li decidi la mattina,Essi li decidono la mattina
