target,x,y,d1,d2
zählen,Es zählt nur noch die Show,Sie zählen nur noch die Show,Ich zähle nur noch die Show,Du zählst nur noch die Show
machen,Ich mache gerne im Urlaub Panoramabilder,Wir machen gerne im Urlaub Panoramabilder,Er macht gerne im Urlaub Panoramabilder,Sie machen gerne im Urlaub Panoramabilder
wissen,Ich weiß es nicht,Wir wissen es nicht,Er weiß es nicht,Du weißt es nicht
beschreiben,Er beschreibt weiterhin die nähere Umgebung,Sie beschreiben weiterhin die nähere Umgebung,Ich beschreibe weiterhin die nähere Umgebung,Ihr beschreibt weiterhin die nähere Umgebung
bedeuten,Es bedeutet zugleich Ablenkung und Unterhaltung,Sie bedeuten zugleich Ablenkung und Unterhaltung,Ich bedeute zugleich Ablenkung und Unterhaltung,Du bedeutest zugleich Ablenkung und Unterhaltung
bleiben,Es bleibt dann leer,Sie bleiben dann leer,Ich bleibe dann leer,Du bleibst dann leer
schauen,Ich schaue gerade Rangers gegen Villarreal,Wir schauen gerade Rangers gegen Villarreal,Er schaut gerade Rangers gegen Villarreal,Sie schauen gerade Rangers gegen Villarreal
wachsen,Es wächst recht langsam,Sie wachsen recht langsam,Ich wachse recht langsam,Du wächst recht langsam
teilen,Ich teile Deine Meinung aber nicht,Wir teilen Deine Meinung aber nicht,Sie teilen Deine Meinung aber nicht,Er teilt Deine Meinung aber nicht
vergessen,Sie vergaß mich nicht?,Sie vergaßen mich nicht?,Ich vergaß mich nicht?,Du vergaßest mich nicht?
besuchen,Er besucht die dortige Schule,Sie besuchen die dortige Schule,Ich besuche die dortige Schule,Du besuchst die dortige Schule
feiern,Sie feierte den Cup Sieg,Sie feierten den Cup Sieg,Ich feierte den Cup Sieg,Du feiertest den Cup Sieg
vorstellen,Du dich mit Root vorstellst,Ihr euch mit Root vorstellt,Er sich mit Root vorstellt,Sie sich mit Root vorstellen
können,Du kannst nicht,Ihr könnt nicht,Er kann nicht,Sie können nicht
erstellen,Du erstellst gerne Grafiken und Layouts?,Ihr erstellt gerne Grafiken und Layouts?,Sie erstellen gerne Grafiken und Layouts?,Es erstellt gerne Grafiken und Layouts?
sitzen,Ich saß lange allein,Wir saßen lange allein,Er saß lange allein,Sie saßen lange allein
teilen,Er teilte es mir nicht mit,Sie teilten es mir nicht mit,Ich teilte es Ihnen nicht mit,Du teiltest es mir nicht mit
bedeuten,Es bedeutet Wachsamkeit gegenüber sozialer Ungerechtigkeit,Sie bedeuten Wachsamkeit gegenüber sozialer Ungerechtigkeit,Ich bedeute Wachsamkeit gegenüber sozialer Ungerechtigkeit,Du bedeutest Wachsamkeit gegenüber sozialer Ungerechtigkeit
gehören,Sie gehört zur Familie der Kieferngewächse,Sie gehören zur Familie der Kieferngewächse,Ich gehöre zur Familie der Kieferngewächse,Du gehörst zur Familie der Kieferngewächse
sagen,Sie sagte Scheiße,Sie sagten Scheiße,Ich sagte Scheiße,Du sagtest Scheiße
planen,Er plant für morgen und übermorgen,Sie planen für morgen und übermorgen,Ich plane für morgen und übermorgen,Du planst für morgen und übermorgen
erklären,Er erklärt,Sie erklären,Ich erkläre,Du erklärst
treffen,Es traf eine türkisch-stämmige Familie,Sie trafen eine türkisch-stämmige Familie,Ich traf eine türkisch-stämmige Familie,Du trafst einer türkisch-stämmigen Familie bei
benötigen,Du benötigst zudem eine Hochschulzugangsberechtigung,Ihr benötigt zudem eine Hochschulzugangsberechtigung,Sie benötigen zudem eine Hochschulzugangsberechtigung,Ich benötige zudem eine Hochschulzugangsberechtigung
brauchen,Ich brauche überzeugende Beweise,Wir brauchen überzeugende Beweise,Du brauchst überzeugende Beweise,Sie brauchen überzeugende Beweise
müssen,Sie muss,Sie müssen,Ich muss,Du musst
bleiben,Ich bleibe bei whamisa,Wir bleiben bei whamisa,Ihr bleibt bei whamisa,Sie bleiben bei whamisa
scheinen,Er scheint seine Chance bereits jetzt,Sie scheinen ihre Chance bereits jetzt,Du scheinst deine Chance bereits jetzt,Ich scheine meine Chance bereits jetzt
holen,Ich hole es nachher ab,Wir holen es nachher ab,Er holt es nachher ab,Sie holen es nachher ab
erreichen,Du erreichst mich unter 07033-36353,Ihr erreicht mich unter 07033-36353,Er erreicht mich unter 07033-36353,Sie erreichen mich unter 07033-36353
entscheiden,Ich entschied mich für einen Grinser,Wir entschieden uns für einen Grinser,Er entschied sich für einen Grinser,Sie entschieden sich für einen Grinser
erinnern,Du erinnerst dich an das hier?,Ihr erinnert euch an das hier?,Er erinnert sich an das hier?,Sie erinnern sich an das hier?
schützen,Er schützte die Feuerbestattung gewandt,Sie schützten die Feuerbestattung gewandt,Ich schützte die Feuerbestattung gewandt,Du schütztest die Feuerbestattung gewandt
finden,Ich fand die Namen auch furchtbar,Wir fanden die Namen auch furchtbar,Er fand die Namen auch furchtbar,Sie fanden die Namen auch furchtbar
werden,Es wurde immer lauter,Sie wurden immer lauter,Ich wurde immer lauter,Du wurdest immer lauter
bezeichnen,Ich bezeichne es als SINN,Wir bezeichnen es als SINN,Er bezeichnet es als SINN,Sie bezeichnen es als SINN
befinden,Er befindet sich im Laienstand,Sie befinden sich im Laienstand,Ich befinde mich im Laienstand,Du befindest dich im Laienstand
unterstützen,Ich unterstütze die Petition,Wir unterstützen die Petition,Er unterstützt die Petition,Sie unterstützen die Petition
öffnen,Sie öffnet ihm ihre Arme,Sie öffnen ihm ihre Arme,Ich öffne ihm meine Arme,Du öffnest ihm deine Arme
hoffen,Ich hoffe auf Ihr Verständnis,Wir hoffen auf Ihr Verständnis,Er hofft auf Ihr Verständnis,Sie hoffen auf Ihr Verständnis
setzen,Er setzte sich dort hin,Sie setzten sich dort hin,Ich setzte mich dort hin,Du setztest dich dort hin
warten,Ich warte noch,Wir warten noch,Er wartet noch,Du wartest noch
ergeben,Es ergibt eine sehr bedeutende Logik,Sie ergeben eine sehr bedeutende Logik,Ich ergebe eine sehr bedeutende Logik,Du ergibst eine sehr bedeutende Logik
eignen,Er eignet sich aber wirklich brilliant,Sie eignen sich aber wirklich brilliant,Ich eigne mich aber wirklich brilliant,Du eignest dich aber wirklich brilliant
laufen,Es läuft gewaltig,Sie laufen gewaltig,Ich laufe gewaltig,Du läufst gewaltig
sagen,Du sagtest Ente,Ihr sagtet Ente,Er sagte Ente,Sie sagten Ente
gründen,Er gründete den nationalchinesischen Staat Taiwan,Sie gründeten den nationalchinesischen Staat Taiwan,Ich gründete den nationalchinesischen Staat Taiwan,Du gründetest den nationalchinesischen Staat Taiwan
erhalten,Er erhielt das Sturmbataillon Lehmann,Sie erhielten das Sturmbataillon Lehmann,Ich erhielt das Sturmbataillon Lehmann,Du erhieltst das Sturmbataillon Lehmann
informieren,Es informiert über internationale Entwicklungen,Sie informieren über internationale Entwicklungen,Ich informiere über internationale Entwicklungen,Du informierst über internationale Entwicklungen
fördern,Sie fördert europäische Wissenschaft und Kunst,Sie fördern europäische Wissenschaft und Kunst,Ich fördere europäische Wissenschaft und Kunst,Du förderst europäische Wissenschaft und Kunst
